Corri el:
mar nov 10 11:01:54 -05 2020
begin of the script
['1G4I', '1HK0', '1IET', '1IMQ', '1LVE', '1MSI', '1ONC', '1P2P', '1PDO', '1QND', '1SSO']
analyzing 1G4I
analzying FA22A
size of 1G4I = 3925
Graph (s) |  Centrality(s)
  3.7963  |  0.6883 
  3.8370  |  0.7154 
  3.9463  |  0.7415 
  4.1866  |  0.7004 
  4.2074  |  0.7357 
  4.1471  |  0.7540 
  4.2832  |  0.7206 
  4.2131  |  0.7615 
  3.9534  |  0.7062 
  4.0741  |  0.7501 
  4.1938  |  0.7276 
  4.2108  |  0.6828 
  7.3600  |  1.3912 
  7.6811  |  1.3794 
  7.1721  |  1.3999 
  7.0839  |  1.3808 
  6.9873  |  1.3221 
  7.1738  |  1.4105 
analzying VA68I
size of 1IMQ = 2823
Graph (s) |  Centrality(s)
  4.1549  |  0.9030 
  4.2100  |  0.8889 
  4.1789  |  0.9086 
  3.9160  |  0.8873 
  4.0344  |  0.9099 
  7.6430  |  1.7286 
  7.8003  |  1.6830 
  3.8429  |  0.8280 
  3.8010  |  0.8579 
  3.8303  |  0.8392 
  3.7713  |  0.8517 
  6.5853  |  1.7190 
  7.6797  |  1.6788 
  4.1816  |  0.8764 
  4.1788  |  0.9042 
  4.2103  |  0.8774 
  3.9372  |  0.8265 
  4.0571  |  0.8965 
  4.2303  |  0.8084 
  4.2353  |  0.8541 
analzying EA31L
size of 1IMQ = 2817
Graph (s) |  Centrality(s)
  4.5585  |  0.3666 
  4.1602  |  0.3612 
  4.1934  |  0.3664 
  4.0303  |  0.3388 
  3.8667  |  0.3212 
  3.8900  |  0.3733 
  7.0254  |  0.7234 
  7.0250  |  0.4122 
  3.9472  |  0.4164 
  3.9730  |  0.3785 
  3.8298  |  0.4020 
  3.8718  |  0.3908 
  3.8713  |  0.3868 
  3.9536  |  0.3902 
  3.9050  |  0.3894 
  3.9006  |  0.4171 
  3.9552  |  0.4365 
  6.9210  |  0.8664 
  7.0529  |  0.8599 
  7.0882  |  0.9658 
analzying VA37L
size of 1IMQ = 2821
Graph (s) |  Centrality(s)
  7.0641  |  1.7974 
  6.9812  |  1.8492 
  7.4170  |  1.9112 
  7.5607  |  1.8917 
  4.1673  |  0.8980 
  6.7390  |  1.8260 
  7.6037  |  1.8162 
  7.7093  |  1.8481 
  7.1013  |  1.7488 
  7.0585  |  1.7852 
  7.4429  |  1.8022 
  7.0159  |  1.7947 
  7.6781  |  1.8133 
  4.6566  |  0.8826 
  3.8319  |  0.8863 
  4.1094  |  0.9004 
  4.1392  |  0.9019 
  4.2235  |  0.9294 
  7.8493  |  1.8587 
  7.3830  |  1.7682 
analzying VA19L
size of 1IMQ = 2815
Graph (s) |  Centrality(s)
  6.9784  |  1.6102 
  7.0226  |  1.6496 
  6.9473  |  1.6561 
  5.7721  |  0.8622 
  4.1880  |  0.8644 
  4.2034  |  0.8749 
  3.9557  |  0.8046 
  3.9013  |  0.8802 
  4.1628  |  0.8434 
  4.3405  |  0.8414 
  4.2125  |  0.9271 
  7.5307  |  1.7384 
  7.0137  |  1.6743 
  7.0694  |  1.6681 
  7.7929  |  1.7478 
  7.7396  |  1.8017 
  4.1949  |  0.8615 
  4.0014  |  0.8189 
  4.0471  |  0.9115 
  4.1414  |  0.8498 
analyzing 1LVE
analyzing WT of 1LVE
size of 1LVE = 3557
Graph (s) | Centrality (all mutants 1)(s)
  6.6678  |  0.8997 
  6.6795  |  0.9007 
  6.4047  |  0.8125 
  6.0418  |  0.8172 
  6.1211  |  0.8595 
  6.1566  |  0.8973 
  6.2694  |  0.8545 
  6.1388  |  0.8830 
  6.1375  |  0.9373 
  11.3054  |  1.7532 
  11.3309  |  1.7604 
  11.2773  |  1.7569 
  6.1047  |  0.8652 
  5.9643  |  0.8803 
  6.4776  |  0.8746 
  6.6895  |  0.8719 
  11.9391  |  1.7526 
  12.6810  |  1.7647 
  7.4227  |  0.8400 
  6.1023  |  0.8453 
analzying MA4L
size of 1LVE = 3557
Graph (s) |  Centrality(s)
  6.0033  |  0.8444 
  6.0806  |  0.8270 
  11.3609  |  1.7266 
