ID	D_4HR_REP1	D_4HR_REP2	D_4HR_REP3	D_6HR_REP1	D_6HR_REP2	D_6HR_REP3	D_8HR_REP1	D_8HR_REP2	D_8HR_REP3
YER145C-A	0	4.1219784243	1.4006221327	9.0357324827	16.980439717	8.0325188764	2.4007845417	3.4006207644	2.7109423306
YNL333W	221.1835761946	166.5279283418	189.0839879126	396.668655992	386.7766824428	548.8887898864	100.8329507523	99.7515424214	127.41428954
YMR315W-A	0	3.2975827394	4.2018663981	2.7107197448	4.7167888103	12.0487783146	2.8009152987	1.1335402548	0
YMR095C	7.6711066888	11.541539588	11.2049770615	20.7821847103	21.6972285273	36.1463349437	8.802876653	3.4006207644	5.4218846613
YER011W	3476.2898478215	3695.7658552286	18049.8174239248	10868.1790302319	9067.5548088794	11446.3393988515	1110.3628505462	2456.3817321267	4235.8473916238
YGR029W	888.5698581228	880.4545914308	1155.513259466	1761.967834133	1914.072899211	2555.6797558371	494.5616155946	433.0123773292	624.8722072123
YDR018C	168.7643471543	158.2839714932	96.6429271553	402.9936687299	377.3431048223	382.8833997744	98.0320354536	81.6148983448	111.1486355562
YCR010C	72.8755135439	37.9222015036	40.6180418479	154.5110254547	284.8940441408	459.1923291001	47.6155600775	53.2763919751	126.0588183747
YPL092W	975.5090672629	1292.6524338609	1025.2554011262	1572.2174519956	1775.3993081888	1105.8100986493	388.9270957589	354.7980997488	376.8209839589
YLR346C	203.284327254	192.9085902573	166.6740337896	616.2369553224	841.4751237537	605.1164220212	161.6528258093	157.5620954156	204.6761459633
YKL096C-B	0	3.2975827394	4.2018663981	5.4214394896	4.7167888103	2.6775062921	1.6005230278	0	1.3554711653
YDL118W	1.2785177815	2.4731870546	0	2.7107197448	2.8300732862	2.6775062921	0.8002615139	1.1335402548	0
YPL080C	0	0.8243956849	0	0	2.8300732862	1.3387531461	0.8002615139	0	0
YFL012W	8.9496244703	15.6635180123	5.6024885307	18.9750382137	8.4902198585	10.7100251685	3.6011768126	4.5341610192	1.3554711653
YDL243C	561.2693060661	475.6763101644	535.0376546861	1837.867986988	2029.1625461818	2317.3816958377	520.5701147966	493.090010833	586.9190145834
YEL073C	129.1302959286	107.9958347167	92.4410607573	237.6397642959	249.9898069448	238.2980599995	52.4171291609	77.0807373256	62.3516736047
YIL068W-A	0	0	0	0	1.8867155241	0	0.400130757	0	0
YFR010W-A	0	0.8243956849	0	0.9035732483	0	1.3387531461	0.400130757	0	0
YAR070C	0	0.8243956849	0	0.9035732483	0	1.3387531461	0.400130757	0	0
YLL061W	434.6960457004	440.2272957154	474.8109029806	1605.6496621818	1607.4816265429	1784.557943704	382.5250036476	312.8571103216	605.8956108979
YOR029W	1.2785177815	1.6487913697	0	0.9035732483	0.9433577621	6.6937657303	1.6005230278	0	0
YJL170C	230.1332006649	317.3923386712	226.9007854951	311.7327706543	349.0423719606	263.7343697747	99.2324277245	65.7453347777	74.5509140926
YLR322W	14.0636955962	1.6487913697	1.4006221327	0.9035732483	1.8867155241	5.3550125843	0	0	2.7109423306
YPL113C	158.5362049025	169.0011153964	138.6615911359	265.6505349924	373.5696737741	365.4796088756	85.6279819881	68.0124152873	113.8595778868
YLR307C-A	7.6711066888	6.5951654789	2.8012442654	34.3357834344	21.6972285273	9.3712720225	7.2023536252	6.8012415287	2.7109423306
YGL184C	56.2547823848	67.6004461585	114.8510148803	495.1581400538	482.9991741725	344.0595585386	92.4302048563	58.944093249	201.9652036326
YOR231C-A	1.2785177815	0.8243956849	0	2.7107197448	1.8867155241	2.6775062921	0	2.2670805096	0
YNL103W-A	2.5570355629	2.4731870546	1.4006221327	1.8071464965	3.7734310482	0	0.400130757	0	1.3554711653
YHR033W	439.8101168263	812.0297495874	547.6432538802	4479.9161649393	5927.116818996	6857.0936141424	1053.9444138158	1054.1924369533	2498.1333576841
YJL028W	0	1.6487913697	0	9.939305731	9.4335776206	22.7588034831	4.4014383265	2.2670805096	4.066413496
YDL227C	1865.3574431672	3000.8002928914	4469.3852254011	3330.5709931356	3328.1661845325	3125.9885960606	763.8496150244	820.6831444669	1045.0682684614
YLR042C	906.4691070634	890.3473396491	974.8330043495	1819.7965220225	1619.7452774496	2202.2489252761	421.7378178291	355.9316400036	742.7981985951
YOL101C	7498.5067883314	2539.1387093696	3414.7167594885	5867.8046742871	4401.7073177519	4669.570973473	1236.0039082297	1104.068208164	1686.2061296576
YLL062C	401.4545833821	354.4901444899	449.5997045922	1119.5272546107	1201.837788859	1245.04042584	298.4975446874	277.7173624232	390.375695612
YDR502C	1134.0452721654	2582.8316806672	2819.452353097	5229.8819610062	5956.3609096197	4482.1455330239	1175.9842946866	1296.7700514781	1775.6672265687
YBR221W-A	1.2785177815	0	1.4006221327	1.8071464965	1.8867155241	2.6775062921	1.2003922709	0	0
YAL060W	2504.616333903	2981.8391921396	2749.4212464627	5869.6118207837	7249.704401398	7053.8903266139	1798.5877525064	1679.9066575966	2015.5856228303
YLR367W	4462.0270573362	4999.9598286775	6735.5918360871	8804.4177311755	9373.2027237854	11044.7134550321	2801.3154294321	2711.4282894542	2471.0239343777
YHR054C	3.8355533444	10.7171439032	9.8043549288	17.1678917172	23.5839440514	30.7913223595	7.6024843821	6.8012415287	4.066413496
YBR294W	39.6340512256	20.6098921215	25.2111983883	168.9681974271	95.2791339676	88.3577076403	30.0098067715	36.2732881532	31.1758368024
YHL043W	3.8355533444	4.1219784243	8.4037327961	6.3250127379	6.6035043344	8.0325188764	1.2003922709	0	5.4218846613
YPL248C	466.6589902372	537.5059865289	390.7735750194	979.4734011283	1082.0313530779	1301.2680579747	297.6972831735	330.9937543982	295.4927140397
YGR293C	0	1.6487913697	0	0	1.8867155241	0	0.400130757	0	0
YNR062C	5.1140711259	22.2586834912	37.8167975825	12.6500254758	14.1503664308	17.4037908988	5.2016998404	1.1335402548	5.4218846613
YDR401W	29.4059089738	18.9611007518	21.0093319903	35.2393566827	33.960879434	34.8075817977	12.0039227086	5.6677012739	9.4882981572
YNR002C	136.8014026175	164.0547412872	88.2391943592	561.1189871778	649.0301402943	883.5770764026	161.2526950523	132.6242098103	290.0708293784
YGL182C	10.2281422518	4.1219784243	12.6055991942	20.7821847103	15.0937241929	22.7588034831	8.402745896	3.4006207644	2.7109423306
YAR053W	1.2785177815	6.5951654789	1.4006221327	9.0357324827	6.6035043344	10.7100251685	2.4007845417	2.2670805096	2.7109423306
